English,Polish
quality,jako??
genuine,prawdziwy
authentic,autentyczny
sophisticated,wyrafinowany
novel,powie??
young,m?ody
refreshing,orze?wiaj?cy
cool,ch?odny
comforting,pocieszaj?cy
relaxing,odpr??aj?cy
fun,zabawa
good,dobry
great,wielki
tasty,smaczny
inspirational,inspiruj?ce
optimistic,optymistyczny
happy,szcz??liwy
confident,konfident
cynical,cyniczny
ambitious,ambitny
selfish,samolubny
superstitious,przes?dny
practical,praktyczny
creative,twórczy
emotional,emocjonalny
stylish,elegancki
impulsive,impulsywny
political,polityczny
responsible,odpowiedzialny
spiritual,duchowy
